round,participant_id,participated,DQS,DHS,USS,RS,PS,confidence,trust_score,decision,data_origin,history_source,real_data,simulated_history_metadata,scenario,validation_message,participant_history
1,ORG-001,True,100.0,20.0,75.862545,93.333333,100.0,100.0,75.758763,ALLOW,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 1, 'consecutive_failures': 0, 'last_seen_rounds_ago': 0, 'consistency_score': 0.757588, 'trust_history': [75.758763], 'decision_history': ['ALLOW']}"
1,ORG-002,True,100.0,20.0,76.39588,93.333333,100.0,100.0,75.918764,ALLOW,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 1, 'consecutive_failures': 0, 'last_seen_rounds_ago': 0, 'consistency_score': 0.759188, 'trust_history': [75.918764], 'decision_history': ['ALLOW']}"
1,ORG-003,True,100.0,20.0,78.010614,93.333333,100.0,100.0,76.403184,ALLOW,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 1, 'consecutive_failures': 0, 'last_seen_rounds_ago': 0, 'consistency_score': 0.764032, 'trust_history': [76.403184], 'decision_history': ['ALLOW']}"
2,ORG-001,True,100.0,20.0,77.29786,85.252921,100.0,100.0,74.977296,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 2, 'consecutive_failures': 1, 'last_seen_rounds_ago': 0, 'consistency_score': 0.75368, 'trust_history': [75.758763, 74.977296], 'decision_history': ['ALLOW', 'MONITOR']}"
2,ORG-002,True,100.0,0.0,81.685382,85.306255,100.0,100.0,72.301553,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,"Baseline contains 11 rows, below the prototype minimum of 12. INSUFFICIENT DATA FOR RELIABLE DRIFT ESTIMATION.","{'success_count': 1, 'total_count': 2, 'consecutive_failures': 1, 'last_seen_rounds_ago': 0, 'consistency_score': 0.741102, 'trust_history': [75.918764, 72.301553], 'decision_history': ['ALLOW', 'MONITOR']}"
2,ORG-003,True,100.0,20.0,76.443315,85.467728,100.0,100.0,74.753154,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 2, 'consecutive_failures': 1, 'last_seen_rounds_ago': 0, 'consistency_score': 0.755782, 'trust_history': [76.403184, 74.753154], 'decision_history': ['ALLOW', 'MONITOR']}"
3,ORG-001,True,100.0,20.0,76.487521,67.70601,100.0,100.0,72.102158,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 3, 'consecutive_failures': 2, 'last_seen_rounds_ago': 0, 'consistency_score': 0.742794, 'trust_history': [75.758763, 74.977296, 72.102158], 'decision_history': ['ALLOW', 'MONITOR', 'MONITOR']}"
3,ORG-002,True,100.0,20.0,76.271378,67.286719,100.0,100.0,71.974421,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 3, 'consecutive_failures': 2, 'last_seen_rounds_ago': 0, 'consistency_score': 0.733982, 'trust_history': [75.918764, 72.301553, 71.974421], 'decision_history': ['ALLOW', 'MONITOR', 'MONITOR']}"
3,ORG-003,True,100.0,20.0,75.355724,67.776056,100.0,100.0,71.773126,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 3, 'consecutive_failures': 2, 'last_seen_rounds_ago': 0, 'consistency_score': 0.743098, 'trust_history': [76.403184, 74.753154, 71.773126], 'decision_history': ['ALLOW', 'MONITOR', 'MONITOR']}"
4,ORG-001,True,100.0,0.0,76.676416,61.03758,100.0,100.0,67.158562,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,"Baseline contains 11 rows, below the prototype minimum of 12. INSUFFICIENT DATA FOR RELIABLE DRIFT ESTIMATION.","{'success_count': 1, 'total_count': 4, 'consecutive_failures': 3, 'last_seen_rounds_ago': 0, 'consistency_score': 0.724992, 'trust_history': [75.758763, 74.977296, 72.102158, 67.158562], 'decision_history': ['ALLOW', 'MONITOR', 'MONITOR', 'MONITOR']}"
4,ORG-002,True,100.0,20.0,75.164902,60.74386,57.777778,66.666667,64.327716,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 4, 'consecutive_failures': 3, 'last_seen_rounds_ago': 0, 'consistency_score': 0.711306, 'trust_history': [75.918764, 72.301553, 71.974421, 64.327716], 'decision_history': ['ALLOW', 'MONITOR', 'MONITOR', 'MONITOR']}"
4,ORG-003,True,100.0,20.0,79.022603,61.047718,100.0,100.0,71.863939,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 4, 'consecutive_failures': 3, 'last_seen_rounds_ago': 0, 'consistency_score': 0.736984, 'trust_history': [76.403184, 74.753154, 71.773126, 71.863939], 'decision_history': ['ALLOW', 'MONITOR', 'MONITOR', 'MONITOR']}"
5,ORG-001,True,100.0,20.0,75.858111,56.916398,57.777778,66.666667,63.96156,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 5, 'consecutive_failures': 4, 'last_seen_rounds_ago': 0, 'consistency_score': 0.707917, 'trust_history': [75.758763, 74.977296, 72.102158, 67.158562, 63.96156], 'decision_history': ['ALLOW', 'MONITOR', 'MONITOR', 'MONITOR', 'MONITOR']}"
5,ORG-002,True,100.0,0.0,76.97142,56.460205,100.0,100.0,66.560457,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,"Baseline contains 11 rows, below the prototype minimum of 12. INSUFFICIENT DATA FOR RELIABLE DRIFT ESTIMATION.","{'success_count': 1, 'total_count': 5, 'consecutive_failures': 4, 'last_seen_rounds_ago': 0, 'consistency_score': 0.702166, 'trust_history': [75.918764, 72.301553, 71.974421, 64.327716, 66.560457], 'decision_history': ['ALLOW', 'MONITOR', 'MONITOR', 'MONITOR', 'MONITOR']}"
5,ORG-003,True,100.0,20.0,78.683023,57.316117,100.0,100.0,71.202324,MONITOR,real_csv_dataset,simulated prototype metadata,True,True,mixed,Baseline is large enough and structurally valid for PSI-based drift estimation.,"{'success_count': 1, 'total_count': 5, 'consecutive_failures': 4, 'last_seen_rounds_ago': 0, 'consistency_score': 0.731991, 'trust_history': [76.403184, 74.753154, 71.773126, 71.863939, 71.202324], 'decision_history': ['ALLOW', 'MONITOR', 'MONITOR', 'MONITOR', 'MONITOR']}"
